agent,condition,scenario,episode,seed,shock,buyer_type,severity,t_s,disruption_type,supplier_port,entry_port,invalid_actions,gated_turns,up_deal,first_bid_ratio,rho_up,rho_up_static,rho_up_agent,dn_deal,tau_true_close,tau_obs_close,qty_committed,shortfall,stockout,fill_rate_realized,rho_dn,rho_dn_deliverable,below_true_batna,below_static_tau,pareto_efficient,chain_impasse,avoidable_impasse,net_value,reward
Dyn-tau-nohedge,no-shock,9,39,900009,False,competitive,0.0,-1,none,Shanghai,Los Angeles,0,0,True,0.6296,0.6476,0.6476,0.6476,True,0.4,0.4,120,0,False,1.0,0.4196,0.4196,False,False,True,False,False,0.5336,0.5336
Surplus,no-shock,10,40,900010,False,cooperative,0.0,-1,none,Busan,Los Angeles,0,5,True,0.6404,0.5901,0.5901,0.5901,True,0.4,0.4,100,0,False,1.0,0.122,0.122,True,True,True,False,False,0.3561,0.3561
Static-tau,no-shock,10,41,900010,False,cooperative,0.0,-1,none,Busan,Los Angeles,0,5,True,0.635,0.5959,0.5959,0.5959,True,0.4,0.4,100,0,False,1.0,0.5061,0.5061,False,False,False,False,False,0.551,0.551
Dyn-BATNA,no-shock,10,42,900010,False,cooperative,0.0,-1,none,Busan,Los Angeles,0,5,True,0.6291,0.6102,0.6102,0.6102,True,0.4,0.4,100,0,False,1.0,0.5061,0.5061,False,False,False,False,False,0.5582,0.5582
Dyn-tau-nohedge,no-shock,10,43,900010,False,cooperative,0.0,-1,none,Busan,Los Angeles,0,5,True,0.6296,0.6095,0.6095,0.6095,True,0.4,0.4,100,0,False,1.0,0.5061,0.5061,False,False,False,False,False,0.5578,0.5578
Surplus,no-shock,11,44,900011,False,cooperative,0.0,-1,none,Shanghai,Oakland,0,0,True,0.6404,0.6684,0.6684,0.6684,True,0.4,0.4,120,0,False,1.0,0.9045,0.9045,False,False,True,False,False,0.7864,0.7864
Static-tau,no-shock,11,45,900011,False,cooperative,0.0,-1,none,Shanghai,Oakland,0,0,True,0.635,0.6684,0.6684,0.6684,True,0.4,0.4,120,0,False,1.0,0.9045,0.9045,False,False,True,False,False,0.7864,0.7864
Dyn-BATNA,no-shock,11,46,900011,False,cooperative,0.0,-1,none,Shanghai,Oakland,0,0,True,0.6291,0.6684,0.6684,0.6684,True,0.4,0.4,120,0,False,1.0,0.9045,0.9045,False,False,True,False,False,0.7864,0.7864
Dyn-tau-nohedge,no-shock,11,47,900011,False,cooperative,0.0,-1,none,Shanghai,Oakland,0,0,True,0.6296,0.6684,0.6684,0.6684,True,0.4,0.4,120,0,False,1.0,0.9045,0.9045,False,False,True,False,False,0.7864,0.7864
Surplus,no-shock,12,48,900012,False,cooperative,0.0,-1,none,Shenzhen,Houston,0,0,True,0.6404,0.8696,0.8696,0.8696,True,0.4,0.4,120,0,False,1.0,0.6032,0.6032,False,False,False,False,False,0.7364,0.7364
Static-tau,no-shock,12,49,900012,False,cooperative,0.0,-1,none,Shenzhen,Houston,0,0,True,0.635,0.8696,0.8696,0.8696,True,0.4,0.4,120,0,False,1.0,0.6032,0.6032,False,False,False,False,False,0.7364,0.7364
Dyn-BATNA,no-shock,12,50,900012,False,cooperative,0.0,-1,none,Shenzhen,Houston,0,0,True,0.6291,0.8696,0.8696,0.8696,True,0.4,0.4,100,0,False,1.0,0.4103,0.4103,False,False,False,False,False,0.6399,0.6399
Dyn-tau-nohedge,no-shock,12,51,900012,False,cooperative,0.0,-1,none,Shenzhen,Houston,0,0,True,0.6296,0.8696,0.8696,0.8696,True,0.4,0.4,120,0,False,1.0,0.6032,0.6032,False,False,False,False,False,0.7364,0.7364
Surplus,no-shock,13,52,900013,False,cooperative,0.0,-1,none,Shanghai,Houston,0,0,True,0.6404,0.8213,0.8213,0.8213,True,0.4,0.4,120,0,False,1.0,0.7354,0.7354,False,False,False,False,False,0.7784,0.7784
Static-tau,no-shock,13,53,900013,False,cooperative,0.0,-1,none,Shanghai,Houston,0,0,True,0.635,0.8213,0.8213,0.8213,True,0.4,0.4,120,0,False,1.0,0.7354,0.7354,False,False,False,False,False,0.7784,0.7784
